actual,estimate,period,quarter,surprise,surprisePercent,symbol,year
6.43,5.3892,2025-03-31,1,1.0408,19.3127,META,2025
8.02,6.9095,2024-12-31,4,1.1105,16.0721,META,2024
6.03,5.3574,2024-09-30,3,0.6726,12.5546,META,2024
5.16,4.8212,2024-06-30,2,0.3388,7.0273,META,2024
