actual,estimate,period,quarter,surprise,surprisePercent,symbol,year
3.46,3.2839,2025-03-31,3,0.1761,5.3625,MSFT,2025
3.23,3.1733,2024-12-31,2,0.0567,1.7868,MSFT,2025
3.3,3.1601,2024-09-30,1,0.1399,4.4271,MSFT,2025
2.95,2.9927,2024-06-30,4,-0.0427,-1.4268,MSFT,2024
