actual,estimate,period,quarter,surprise,surprisePercent,symbol,year
1.65,1.6596,2025-03-31,2,-0.0096,-0.5785,AAPL,2025
2.4,2.3964,2024-12-31,1,0.0036,0.1502,AAPL,2025
1.64,1.6343,2024-09-30,4,0.0057,0.3488,AAPL,2024
1.4,1.3732,2024-06-30,3,0.0268,1.9516,AAPL,2024
