actual,estimate,period,quarter,surprise,surprisePercent,symbol,year
1.59,1.3893,2025-03-31,1,0.2007,14.4461,AMZN,2025
1.86,1.5242,2024-12-31,4,0.3358,22.0312,AMZN,2024
1.43,1.1653,2024-09-30,3,0.2647,22.7152,AMZN,2024
1.26,1.0484,2024-06-30,2,0.2116,20.1831,AMZN,2024
