ticker,count
MARKET,122
US,97
U,67
S,57
SPY,31
AI,18
P,17
HYSA,14
IRA,12
BTC,10
TSLA,10
ETF,10
USD,10
GDP,9
NVDA,9
IV,8
SPX,8
ITM,7
VIX,7
NOT,7
